coefficient_name,value,constrain
coef_nest_root,1.0,T
coef_nest_AUTO,0.72,T
coef_nest_AUTO_DRIVEALONE,0.35,T
coef_nest_AUTO_SHAREDRIDE2,0.35,T
coef_nest_AUTO_SHAREDRIDE3,0.35,T
coef_nest_NONMOTORIZED,0.72,T
coef_nest_TRANSIT,0.72,T
coef_nest_TRANSIT_WALKACCESS,0.5,T
coef_nest_TRANSIT_DRIVEACCESS,0.5,T
coef_nest_RIDEHAIL,0.36,T
coef_ivt_eatout_escort_othdiscr_othmaint_shopping_social,-0.0175,F
coef_ivt_school_univ,-0.0224,F
coef_ivt_work,-0.0134,F
coef_ivt_atwork,-0.0188,F
coef_topology_walk_multiplier_eatout_escort_othdiscr_othmaint_school_shopping_social_univ_work,15.0,F
coef_topology_walk_multiplier_atwork,7.5,F
coef_topology_bike_multiplier_eatout_escort_othdiscr_othmaint_school_shopping_social_univ_work,20.0,F
coef_topology_bike_multiplier_atwork,10.0,F
coef_topology_trn_multiplier_eatout_escort_othdiscr_othmaint_school_shopping_social_univ_work,2.200000047683716,F
coef_topology_trn_multiplier_atwork,2.0,F
coef_age1619_da_multiplier_eatout_escort_othdiscr_othmaint_shopping_social_work,0.0,F
coef_age1619_da_multiplier_school_univ,-1.3813,F
coef_age1619_da_multiplier_atwork,0.0032336,F
coef_age010_trn_multiplier_eatout_escort_othdiscr_othmaint_shopping_social_work,0.0,F
coef_age010_trn_multiplier_school_univ,-1.5548,F
coef_age010_trn_multiplier_atwork,0.000722,F
coef_age16p_sr_multiplier_eatout_escort_othdiscr_othmaint_shopping_social,-1.366,F
coef_age16p_sr_multiplier_school_univ_work_atwork,0.0,F
coef_hhsize1_sr_multiplier_eatout_escort_othdiscr_othmaint_school_shopping_social_univ_atwork,0.0,F
coef_hhsize1_sr_multiplier_work,-2.385976791381836,F
coef_hhsize2_sr_multiplier_eatout_escort_othdiscr_othmaint_shopping_social_work_atwork,0.0,F
coef_hhsize2_sr_multiplier_school_univ,-0.6359,F
walk_ASC_no_auto_eatout,5.1251173,F
walk_ASC_no_auto_escort,2.8012068,F
walk_ASC_no_auto_othdiscr,3.2665946,F
walk_ASC_no_auto_othmaint,1.287299,F
walk_ASC_no_auto_school,18.414557,F
walk_ASC_no_auto_shopping,2.3768773,F
walk_ASC_no_auto_social,1.8680915,F
walk_ASC_no_auto_univ,6.408967,F
walk_ASC_no_auto_work,10.174169540405273,F
walk_ASC_no_auto_atwork,6.669213,F
walk_ASC_auto_deficient_eatout,3.274605,F
walk_ASC_auto_deficient_escort,-0.90204656,F
walk_ASC_auto_deficient_othdiscr,2.2494075,F
walk_ASC_auto_deficient_othmaint,1.3690404,F
walk_ASC_auto_deficient_school,3.2573624,F
walk_ASC_auto_deficient_shopping,2.2701733,F
walk_ASC_auto_deficient_social,2.870184,F
walk_ASC_auto_deficient_univ,4.50591,F
walk_ASC_auto_deficient_work,7.67399787902832,F
walk_ASC_auto_deficient_atwork,0.92546093,F
walk_ASC_auto_sufficient_eatout,1.5516903,F
walk_ASC_auto_sufficient_escort,-0.8116066,F
walk_ASC_auto_sufficient_othdiscr,1.2633476,F
walk_ASC_auto_sufficient_othmaint,0.7999634,F
walk_ASC_auto_sufficient_school,0.6476856,F
walk_ASC_auto_sufficient_shopping,0.7312663,F
walk_ASC_auto_sufficient_social,1.7072186,F
walk_ASC_auto_sufficient_univ,1.0607665,F
walk_ASC_auto_sufficient_work,3.099137544631958,F
walk_ASC_auto_sufficient_atwork,0.677216,F
bike_ASC_no_auto_eatout,0.86807096,F
bike_ASC_no_auto_escort,-0.716212,F
bike_ASC_no_auto_othdiscr,-0.3764232,F
bike_ASC_no_auto_othmaint,1.5394334,F
bike_ASC_no_auto_school,12.098735,F
bike_ASC_no_auto_shopping,0.8341555,F
